modelId,downloads,organization
MaziyarPanahi/Mistral-7B-Instruct-v0.3-GGUF,1908635,MaziyarPanahi
Michau/t5-base-en-generate-headline,128373,Michau
Minej/bert-base-personality,3208905,Minej
Moritz-Pfeifer/CentralBankRoBERTa-sentiment-classifier,2712545,Moritz-Pfeifer
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,814422,MoritzLaurer
NbAiLab/nb-wav2vec2-300m-nynorsk,456534,NbAiLab
NeuML/pubmedbert-base-embeddings,148286,NeuML
NlpHUST/ner-vietnamese-electra-base,139850,NlpHUST
NousResearch/Llama-2-7b-chat-hf,441064,NousResearch
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,515680,OpenAssistant
OpenGVLab/InternVL2-8B,133632,OpenGVLab
Orenguteng/Llama-3-8B-Lexi-Uncensored,334448,Orenguteng
ProsusAI/finbert,1812004,ProsusAI
Qdrant/all-MiniLM-L6-v2-onnx,204990,Qdrant
Qwen/Qwen2.5-1.5B-Instruct,43395422,Qwen
RishuD7/CML_Text_date_number_blank_v1,225499,RishuD7
Rostlab/prot_bert,567444,Rostlab
RunDiffusion/Juggernaut-XL-v9,1076519,RunDiffusion
SG161222/RealVisXL_V4.0,662825,SG161222
SWivid/F5-TTS,683883,SWivid
Salesforce/blip-image-captioning-large,1969484,Salesforce
SamLowe/roberta-base-go_emotions,1376752,SamLowe
SanctumAI/Meta-Llama-3.1-8B-Instruct-GGUF,163101,SanctumAI
SenswiseData/bert_cased_ner,166034,SenswiseData
Shakker-Labs/FLUX.1-dev-LoRA-AntiBlur,881758,Shakker-Labs
Snowflake/snowflake-arctic-embed-m,410046,Snowflake
SpanBERT/spanbert-large-cased,229216,SpanBERT
Sudanl/stable-diffusion-2-1-base-custom,434549,Sudanl
Supabase/gte-small,536325,Supabase
Systran/faster-whisper-large-v3,681329,Systran
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,1030271,T-Systems-onsite
THUDM/chatglm2-6b,721614,THUDM
TahaDouaji/detr-doc-table-detection,247620,TahaDouaji
TaylorAI/bge-micro-v2,227779,TaylorAI
Team-ACE/ToolACE-8B,299721,Team-ACE
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,517061,TheBloke
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2135422,TinyLlama
Tochka-AI/ruRoPEBert-e5-base-2k,672103,Tochka-AI
UFNLP/gatortron-base,175583,UFNLP
VAGOsolutions/Llama-3.1-SauerkrautLM-8b-Instruct,236875,VAGOsolutions
WhereIsAI/UAE-Large-V1,1221906,WhereIsAI
WinKawaks/vit-tiny-patch16-224,4954083,WinKawaks
XLabs-AI/flux-RealismLora,359711,XLabs-AI
Xenova/bge-base-en-v1.5,874869,Xenova
Yehor/w2v-xls-r-uk,168138,Yehor
YituTech/conv-bert-base,1707321,YituTech
YxZhang/evf-sam2-multitask,247078,YxZhang
ZhengPeng7/BiRefNet,773726,ZhengPeng7
adrianjoheni/translation-model-opus,318127,adrianjoheni
adsabs/astroBERT,5922722,adsabs
aglazkova/bart_finetuned_keyphrase_extraction,279771,aglazkova
ai-forever/sbert_large_nlu_ru,959269,ai-forever
ai4bharat/indic-bert,545852,ai4bharat
ailegends/xlsr-jonatasgrosman-wav2vec2-large-xlsr-53-english,123548,ailegends
aipicasso/emi,283581,aipicasso
albert/albert-base-v2,6448555,albert
alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,206929,alefiury
ali-vilab/In-Context-LoRA,143262,ali-vilab
allenai/longformer-base-4096,4402761,allenai
almanach/camembert-base,2063022,almanach
amazon/chronos-t5-small,3958699,amazon
amunchet/rorshark-vit-base,512923,amunchet
answerdotai/answerai-colbert-small-v1,3298255,answerdotai
anton-l/wav2vec2-random-tiny-classifier,125289,anton-l
apple/OpenELM-1_1B-Instruct,1402013,apple
argmaxinc/whisperkit-coreml,142170,argmaxinc
artificialguybr/ColoringBookRedmond-V2,148245,artificialguybr
ashawkey/mvdream-sd2.1-diffusers,1158143,ashawkey
aspire/acge_text_embedding,170692,aspire
aubmindlab/bert-base-arabertv02,743518,aubmindlab
audeering/wav2vec2-large-robust-24-ft-age-gender,369511,audeering
autogluon/chronos-t5-tiny,2050285,autogluon
avsolatorio/GIST-small-Embedding-v0,1114360,avsolatorio
bartowski/Meta-Llama-3.1-8B-Instruct-GGUF,10609739,bartowski
basel/ATTACK-BERT,253606,basel
benjamin/wtp-canine-s-1l,212796,benjamin
bespin-global/klue-sroberta-base-continue-learning-by-mnr,139731,bespin-global
bhadresh-savani/distilbert-base-uncased-emotion,146409,bhadresh-savani
bigcode/starcoder2-3b,329626,bigcode
bigscience/bloomz-560m,15217373,bigscience
black-forest-labs/FLUX.1-schnell,1559312,black-forest-labs
blanchefort/rubert-base-cased-sentiment-rusentiment,594529,blanchefort
blaze999/Medical-NER,199672,blaze999
bofenghuang/whisper-large-v3-french,178798,bofenghuang
bookbot/wav2vec2-ljspeech-gruut,163590,bookbot
botp/stable-diffusion-v1-5,311969,botp
briaai/RMBG-1.4,1594685,briaai
brunopio/Llama3-8B-1.58-100B-tokens-GGUF,1765867,brunopio
cagliostrolab/animagine-xl-3.1,370292,cagliostrolab
cahya/bert-base-indonesian-NER,154399,cahya
cambridgeltl/SapBERT-from-PubMedBERT-fulltext,1862750,cambridgeltl
canerturkmen/bolt-test,1387859,canerturkmen
cardiffnlp/twitter-roberta-base-sentiment-latest,4822677,cardiffnlp
casperhansen/mistral-nemo-instruct-2407-awq,197933,casperhansen
cecibas/Midnight-Miqu-70B-v1.5-4bit,403445,cecibas
charactr/vocos-mel-24khz,1379860,charactr
charsiu/en_w2v2_fc_10ms,1179307,charsiu
city96/FLUX.1-dev-gguf,124266,city96
ckiplab/bert-base-chinese-ws,364841,ckiplab
cledoux42/Ethnicity_Test_v003,195997,cledoux42
codesage/codesage-large,176761,codesage
cointegrated/rubert-tiny,2141344,cointegrated
colbert-ir/colbertv2.0,1539807,colbert-ir
coqui/XTTS-v2,1825667,coqui
cross-encoder/ms-marco-MiniLM-L-6-v2,2711635,cross-encoder
crynux-ai/stable-diffusion-v1-5,252110,crynux-ai
csebuetnlp/banglat5_banglaparaphrase,802675,csebuetnlp
dangvantuan/sentence-camembert-large,320339,dangvantuan
dataautogpt3/ProteusV0.3,130676,dataautogpt3
datificate/gpt2-small-spanish,277677,datificate
davebulaval/MeaningBERT,414241,davebulaval
davidkim205/ko-gemma-2-9b-it,136289,davidkim205
dbmdz/bert-large-cased-finetuned-conll03-english,1022515,dbmdz
dccuchile/bert-base-spanish-wwm-uncased,386299,dccuchile
deepdml/faster-whisper-large-v3-turbo-ct2,726085,deepdml
deepset/roberta-base-squad2,1600240,deepset
depth-anything/Depth-Anything-V2-Large-hf,145225,depth-anything
dicta-il/dictalm2.0-instruct,158830,dicta-il
diffusers/stable-diffusion-xl-1.0-inpainting-0.1,462723,diffusers
distil-whisper/distil-large-v3,318936,distil-whisper
distilbert/distilbert-base-uncased,14891526,distilbert
distributed/optimized-gpt2-1b,4471565,distributed
dmis-lab/biobert-v1.1,1272629,dmis-lab
doc2query/msmarco-t5-base-v1,258529,doc2query
dslim/bert-base-NER,2108947,dslim
dtger/dt_style_1,191080,dtger
dunzhang/stella_en_400M_v5,1283983,dunzhang
echarlaix/tiny-random-mistral,434576,echarlaix
eenzeenee/t5-base-korean-summarization,283073,eenzeenee
ehcalabres/wav2vec2-lg-xlsr-en-speech-emotion-recognition,129504,ehcalabres
emilyalsentzer/Bio_ClinicalBERT,4469626,emilyalsentzer
emrecan/bert-base-turkish-cased-mean-nli-stsb-tr,319252,emrecan
facebook/opt-1.3b,18146887,facebook
fal-collab-models/dreamshaper-xl-1-0,150832,fal-collab-models
finiteautomata/beto-sentiment-analysis,522250,finiteautomata
fixie-ai/ultravox-v0_3,142797,fixie-ai
flair/ner-english-fast,1259467,flair
furiosa-ai/mlperf-gpt-j-6b,417811,furiosa-ai
fxmarty/really-tiny-falcon-testing,395590,fxmarty
ggml-org/models,442646,ggml-org
ggrazzioli/cls_sentimento_sebrae,408187,ggrazzioli
ghunkins/prompt-expansion,375811,ghunkins
gilf/french-camembert-postag-model,1034105,gilf
google/vit-base-patch16-224-in21k,15187661,google
google-bert/bert-base-uncased,70401215,google-bert
google-t5/t5-small,7686905,google-t5
h2oai/h2ogpt-4096-llama2-7b-chat,275267,h2oai
h94/IP-Adapter-FaceID,414989,h94
hfl/chinese-roberta-wwm-ext,223919,hfl
hiiamsid/sentence_similarity_spanish_es,132114,hiiamsid
hkunlp/instructor-large,269157,hkunlp
hpcai-tech/OpenSora-VAE-v1.2,552352,hpcai-tech
huawei-noah/TinyBERT_General_4L_312D,160743,huawei-noah
hugging-quants/Llama-3.2-1B-Instruct-Q8_0-GGUF,419869,hugging-quants
huggyllama/llama-7b,598229,huggyllama
hustvl/vitmatte-small-composition-1k,743871,hustvl
ibm-granite/granite-timeseries-ttm-r1,491887,ibm-granite
indobenchmark/indobert-base-p1,764134,indobenchmark
internlm/internlm-xcomposer2d5-clip,306737,internlm
intfloat/e5-large-v2,1476831,intfloat
j-hartmann/emotion-english-distilroberta-base,1070563,j-hartmann
jbetker/wav2vec2-large-robust-ft-libritts-voxpopuli,692156,jbetker
jhgan/ko-sroberta-multitask,1080405,jhgan
jinaai/jina-embeddings-v3,811009,jinaai
joeddav/xlm-roberta-large-xnli,168197,joeddav
jonatasgrosman/wav2vec2-large-xlsr-53-english,21139889,jonatasgrosman
jonathandinu/face-parsing,201253,jonathandinu
jondurbin/unstuffer-v0.2,385213,jondurbin
jordiclive/flan-t5-3b-summarizer,148484,jordiclive
jtlicardo/bpmn-information-extraction-v2,129465,jtlicardo
jukofyork/creative-writing-control-vectors-v3.0,172501,jukofyork
katuni4ka/tiny-random-baichuan2,201037,katuni4ka
kingabzpro/wav2vec2-large-xls-r-300m-Urdu,148375,kingabzpro
koheiduck/bert-japanese-finetuned-sentiment,121029,koheiduck
kredor/punctuate-all,574429,kredor
kresnik/wav2vec2-large-xlsr-korean,627208,kresnik
kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16,130776,kuleshov-group
kykim/bert-kor-base,145688,kykim
kyutai/mimi,1594775,kyutai
laion/CLIP-ViT-B-16-laion2B-s34B-b88K,5181733,laion
latent-consistency/lcm-lora-sdv1-5,175453,latent-consistency
lengyue233/content-vec-best,1609134,lengyue233
lewtun/tiny-random-mt5,317861,lewtun
liuhaotian/llava-v1.5-7b,1330247,liuhaotian
llamafactory/tiny-random-Llama-3,291461,llamafactory
llava-hf/llava-v1.6-mistral-7b-hf,738045,llava-hf
lllyasviel/sd-controlnet-canny,316693,lllyasviel
lmsys/vicuna-7b-v1.5,438191,lmsys
lucas-leme/FinBERT-PT-BR,369136,lucas-leme
lxyuan/distilbert-base-multilingual-cased-sentiments-student,2429358,lxyuan
madebyollin/sdxl-vae-fp16-fix,229052,madebyollin
madhurjindal/autonlp-Gibberish-Detector-492513457,334999,madhurjindal
malteos/scincl,261428,malteos
martin-ha/toxic-comment-model,747499,martin-ha
mattmdjaga/segformer_b2_clothes,3807104,mattmdjaga
meta-llama/Llama-3.1-8B-Instruct,6192025,meta-llama
michaelfeil/bge-small-en-v1.5,130814,michaelfeil
michellejieli/emotion_text_classifier,908529,michellejieli
microsoft/resnet-50,31051253,microsoft
mistralai/Mistral-7B-Instruct-v0.3,642206,mistralai
mixedbread-ai/mxbai-embed-large-v1,3296110,mixedbread-ai
ml6team/keyphrase-extraction-distilbert-inspec,128873,ml6team
modularai/llama-3.1,763932,modularai
mohitsha/tiny-random-testing-bert2gpt2,153187,mohitsha
moka-ai/m3e-base,281510,moka-ai
monologg/kobert,275635,monologg
mpoyraz/wav2vec2-xls-r-300m-cv7-turkish,541340,mpoyraz
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,1129034,mrm8488
mtg-upf/discogs-maest-30s-pw-129e,229713,mtg-upf
myshell-ai/MeloTTS-English,925777,myshell-ai
nateraw/vit-age-classifier,1755185,nateraw
naver/splade-cocondenser-selfdistil,800413,naver
ncbi/MedCPT-Query-Encoder,211149,ncbi
nesaorg/benchmark_v0,118617403,nesaorg
neulab/codebert-java,337535,neulab
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,286420,neuralmagic
neuralmind/bert-base-portuguese-cased,4073693,neuralmind
nferruz/ProtGPT2,216877,nferruz
nfliu/deberta-v3-large_boolq,349519,nfliu
nguyenvulebinh/wav2vec2-base-vi,170928,nguyenvulebinh
nlpaueb/legal-bert-base-uncased,474419,nlpaueb
nlpconnect/vit-gpt2-image-captioning,2132878,nlpconnect
nlptown/bert-base-multilingual-uncased-sentiment,1518391,nlptown
nomic-ai/nomic-embed-text-v1.5,1632427,nomic-ai
ntu-spml/distilhubert,2701680,ntu-spml
numind/NuNER_Zero,162144,numind
nvidia/speakerverification_en_titanet_large,2379048,nvidia
obh07/multilingual-e5-base-dolly-15k,137337,obh07
obi/deid_roberta_i2b2,837751,obi
oliverguhr/fullstop-punctuation-multilang-large,405558,oliverguhr
openai/clip-vit-large-patch14,29787899,openai
openai-community/gpt2,16632300,openai-community
openart-custom/AlbedoBase,423790,openart-custom
openlm-research/open_llama_3b_v2,194419,openlm-research
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,1541595,opensearch-project
optimum-internal-testing/tiny-random-llama,178811,optimum-internal-testing
owkin/phikon,1484604,owkin
padmajabfrl/Gender-Classification,1337137,padmajabfrl
papluca/xlm-roberta-base-language-detection,4702539,papluca
patrickjohncyh/fashion-clip,2772896,patrickjohncyh
patrickvonplaten/wavlm-libri-clean-100h-base-plus,1280181,patrickvonplaten
pdelobelle/robbert-v2-dutch-base,218924,pdelobelle
peft-internal-testing/tiny-dummy-qwen2,1146573,peft-internal-testing
petals-team/StableBeluga2,328620,petals-team
philschmid/bart-large-cnn-samsum,399448,philschmid
pierreguillou/ner-bert-base-cased-pt-lenerbr,123184,pierreguillou
playgroundai/playground-v2.5-1024px-aesthetic,226894,playgroundai
pparasurama/raceBERT-ethnicity,134603,pparasurama
prajjwal1/bert-small,1992783,prajjwal1
princeton-nlp/sup-simcse-roberta-large,8879961,princeton-nlp
prithivida/parrot_paraphraser_on_T5,1383160,prithivida
prs-eth/marigold-normals-lcm-v0-1,2165313,prs-eth
pyannote/segmentation-3.0,14669060,pyannote
pysentimiento/robertuito-sentiment-analysis,1112853,pysentimiento
qanastek/51-languages-classifier,525164,qanastek
reazon-research/reazonspeech-nemo-v2,187279,reazon-research
rinna/japanese-cloob-vit-b-16,339838,rinna
rizvandwiki/gender-classification,1494342,rizvandwiki
s-nlp/roberta_toxicity_classifier,121877,s-nlp
salmanshahid/vad,352360,salmanshahid
sanchit-gandhi/whisper-medium-fleurs-lang-id,125031,sanchit-gandhi
seara/rubert-tiny2-russian-sentiment,510707,seara
sentence-transformers/all-mpnet-base-v2,296552424,sentence-transformers
sentence-transformers-testing/stsb-bert-tiny-safetensors,215816,sentence-transformers-testing
sentinet/suicidality,143462,sentinet
shahrukhx01/bert-mini-finetune-question-detection,286625,shahrukhx01
shi-labs/oneformer_coco_swin_large,513966,shi-labs
shibing624/text2vec-base-chinese,904642,shibing624
smallcloudai/Refact-1_6B-fim,1713867,smallcloudai
solidrust/Codestral-22B-v0.1-hf-AWQ,307417,solidrust
sonoisa/sentence-bert-base-ja-mean-tokens-v2,318415,sonoisa
speechbrain/spkrec-ecapa-voxceleb,735779,speechbrain
sshleifer/distilbart-cnn-12-6,822235,sshleifer
stabilityai/stable-diffusion-xl-base-1.0,2692090,stabilityai
stable-diffusion-v1-5/stable-diffusion-inpainting,4565834,stable-diffusion-v1-5
stablediffusionapi/realistic-vision-51,190022,stablediffusionapi
stepfun-ai/GOT-OCR2_0,926311,stepfun-ai
tasksource/deberta-small-long-nli,133925,tasksource
tencent/DepthCrafter,328740,tencent
textattack/bert-base-uncased-snli,303675,textattack
theainerd/Wav2Vec2-large-xlsr-hindi,552799,theainerd
thenlper/gte-large,1920169,thenlper
tiiuae/falcon-7b-instruct,203897,tiiuae
timbrooks/instruct-pix2pix,168380,timbrooks
timm/resnet50.a1_in1k,15160276,timm
timpal0l/mdeberta-v3-base-squad2,171856,timpal0l
tner/roberta-large-ontonotes5,383162,tner
to-be/donut-base-finetuned-invoices,263577,to-be
tohoku-nlp/bert-base-japanese,2296622,tohoku-nlp
trl-internal-testing/tiny-random-LlamaForCausalLM,1260425,trl-internal-testing
trpakov/vit-face-expression,730594,trpakov
tsmatz/xlm-roberta-ner-japanese,1243880,tsmatz
tuner007/pegasus_paraphrase,133046,tuner007
ufal/robeczech-base,148161,ufal
unitary/toxic-bert,928582,unitary
unsloth/llama-3-8b-bnb-4bit,852740,unsloth
unslothai/1,2725373,unslothai
vectara/hallucination_evaluation_model,294837,vectara
vikhyatk/moondream2,241838,vikhyatk
vikp/surya_det3,1004027,vikp
vinai/phobert-base-v2,385933,vinai
vinid/plip,1252414,vinid
w11wo/indonesian-roberta-base-posp-tagger,2837932,w11wo
wangqixun/YamerMIX_v8,144836,wangqixun
wasmdashai/wasmai-7b-v1,501262,wasmdashai
xiaxy/elastic-bert-chinese-ner,536903,xiaxy
xlnet/xlnet-base-cased,191491,xlnet
yangheng/deberta-v3-base-absa-v1.1,368259,yangheng
ybelkada/tiny-random-T5ForConditionalGeneration-calibrated,1083404,ybelkada
yikuan8/Clinical-Longformer,760503,yikuan8
yiyanghkust/finbert-tone,1109081,yiyanghkust
yosuke/bert-base-japanese-char,391570,yosuke
zer0int/CLIP-GmP-ViT-L-14,188150,zer0int
